review_status,background,split,n_annotations,mean_confidence,mean_area_ratio,mean_pairwise_iou
auto_candidate,bright,test,65,0.6868991259155278,0.4581729208996981,0.553370297669446
auto_candidate,bright,train,185,0.7824716863343563,0.4892163931185116,0.6792097310425104
auto_candidate,bright,validation,2,0.6419767800835909,0.34827174369988423,0.42900338312799935
needs_review,bright,test,39,0.5289469643327721,0.1939851535660918,0.16414451091780108
needs_review,bright,train,53,0.5346209019839595,0.2090511153092631,0.14313717655782762
needs_review,bright,validation,2,0.5321563407021818,0.25459409675014255,0.12982378238601835
