epoch,train_loss,val_dice,val_iou,learning_rate,elapsed_seconds
1,0.15171911019980908,0.9912869949558799,0.9838286472723766,0.0009972609476841367,248.30694375000166
2,0.07445350291132927,0.9927127033615204,0.9866518466797485,0.0009890738003669028,225.5290601250017
3,0.06262146512866021,0.991506412115098,0.9842484376440508,0.0009755282581475768,235.5628241250015
4,0.06803655291795731,0.9928994029184743,0.9870235328036013,0.0009567727288213003,224.83562170799996
5,0.055041607666015624,0.9928825536727279,0.9869759679620856,0.0009330127018922195,223.51873687499756
6,0.05708293226063251,0.9930990624468647,0.9874212993787547,0.0009045084971874739,223.7436884589988
7,0.053752826684713366,0.991835125113558,0.984904282999487,0.0008715724127386972,255.39030387499952
8,0.05757523703575134,0.9896359075102673,0.9824816960128422,0.0008345653031794292,225.80760954200377
9,0.05016196781396866,0.9931816376757975,0.9875915406520449,0.0007938926261462366,222.3872149999952
10,0.054258901673555376,0.9913781255812681,0.9841383677783713,0.00075,280.43445379199693
11,0.05295400854945183,0.9931466326617399,0.987516487533569,0.0007033683215379003,250.40134641699842
12,0.04956472125649452,0.9932165092161296,0.98765865328316,0.0006545084971874739,225.0732884579993
13,0.051302577257156375,0.993117195378815,0.9874585644994538,0.0006039558454088797,244.70647904100042
14,0.05693560739159584,0.993141167646308,0.9875056407651065,0.0005522642316338269,227.52813129100105
15,0.049223997887969016,0.9932743928193419,0.9877797648087927,0.0005000000000000002,234.77905591699528
16,0.046975142765045164,0.9933791780785649,0.9879794555953026,0.0004477357683661734,225.66132470899902
17,0.04920095507502556,0.9932954203527554,0.9878179465953281,0.00039604415459112036,234.79561216600268
18,0.04814667719602585,0.9933724428757119,0.9879620093089956,0.0003454915028125264,225.9946119170054
19,0.04857802243828774,0.9932677839306804,0.9877652635074684,0.00029663167846210003,234.27541691700026
20,0.046344173723459246,0.9932701719806657,0.9877631315863199,0.00025000000000000017,234.16028062500118
21,0.04493042381703854,0.9934472171653871,0.9881233862387111,0.00020610737385376354,227.8061549999984
22,0.0455855017721653,0.9933579387542654,0.9879379090742473,0.00016543469682057108,236.73956374999398
23,0.043303639951348304,0.9934107292548686,0.9880453235080797,0.00012842758726130303,226.03313820800395
24,0.045153548964858056,0.9934581088351706,0.9881466157668328,9.549150281252637e-05,224.54332529200474
25,0.044609878614544865,0.9934720983708974,0.988170282613367,6.698729810778068e-05,229.08280387500417
26,0.04363394785225391,0.993474395286233,0.9881734417427238,4.322727117869953e-05,225.93574845800322
27,0.04385921334922314,0.9934804486556165,0.9881836642178069,2.447174185242324e-05,222.05400637500134
28,0.042330296549201014,0.9934823402215256,0.988188128424781,1.092619963309716e-05,234.72539037500246
29,0.043757006919384,0.9934923732511814,0.9882091086853231,2.7390523158633003e-06,225.56566858400038
30,0.044235694694519045,0.9934829730217348,0.9881890019256353,0.0,223.37557950000337
