auto_status,auto_reason,n_annotations,mean_confidence,mean_pairwise_iou,mean_area_ratio
accepted_high,high_consensus,250,0.7574037752706942,0.6442878912890061,0.4815460051055018
accepted_medium,balanced_candidate,89,0.5290328861279001,0.14088463694826125,0.19120213493286994
ignored,area_ratio_too_large,1,0.715234149855845,0.6565652568784176,0.971335857220119
ignored,below_balanced_threshold,4,0.5936970882569566,0.4283772257389424,0.20212766880965483
ignored,empty_crop_mask,1,0.4652795744108947,0.0002754820936639,0.0
ignored,full_box_like,1,0.7276380517134853,0.7473750531909147,0.9537965489140064
