epoch,train_loss,val_dice,val_iou,learning_rate,elapsed_seconds
1,0.19595147520303727,0.986469960541742,0.9744035382085037,0.0009972609476841367,134.46876349999366
2,0.10521950998902321,0.9889173766801764,0.9794012305376734,0.0009890738003669028,120.4707476669937
3,0.07417030112445354,0.9925269149523237,0.9862724664291629,0.0009755282581475768,116.65904633299942
4,0.07611721175909042,0.99118669027248,0.9836078388516329,0.0009567727288213003,117.40660583400313
5,0.06939616797864437,0.9910124613822021,0.9832651885950163,0.0009330127018922195,117.48023458299576
6,0.056302648484706876,0.9920822765563587,0.9853887881884723,0.0009045084971874739,117.49630829200032
7,0.049917047098279,0.9920336005779036,0.985317702920129,0.0008715724127386972,117.5182059170038
8,0.04948799964785576,0.9920758791940529,0.9853687385705849,0.0008345653031794292,117.3503484170069
9,0.06016658399999142,0.9918966418070059,0.9850541928028995,0.0007938926261462366,117.29832737499964
10,0.05947160476446152,0.9929956284068278,0.9872182095713802,0.00075,117.18419070899836
11,0.05523740656673908,0.9929851282112622,0.9871937997931931,0.0007033683215379003,117.36972637500003
12,0.04900741152465343,0.9929765005499499,0.9871649494456693,0.0006545084971874739,117.26554120800574
13,0.04582476694881916,0.9932307916289708,0.987685683288814,0.0006039558454088797,117.33232512500399
14,0.04539342138171196,0.9932530428253348,0.9877398308313589,0.0005522642316338269,117.31149091699626
15,0.045661244451999664,0.9931625204347052,0.987550668139358,0.0005000000000000002,117.2941042090024
16,0.0495097194314003,0.9930907456181844,0.9874102622749215,0.0004477357683661734,117.3439264999979
17,0.045402863502502444,0.9927971785846129,0.9868131473815434,0.00039604415459112036,117.31016033399646
18,0.044361441746354105,0.9933389994984599,0.9879069121153073,0.0003454915028125264,117.35208224999951
19,0.043829564273357394,0.9933310096151262,0.9878925458900438,0.00029663167846210003,117.35163566600386
20,0.04352019290626049,0.9932761136648838,0.9877828863194473,0.00025000000000000017,117.43932262500311
21,0.043106463834643366,0.9932075394603942,0.9876451751973835,0.00020610737385376354,117.38278587500099
22,0.04168222293257713,0.9933238441504917,0.9878703589450396,0.00016543469682057108,117.36887774999923
23,0.043956887274980545,0.9933832476741378,0.9879966840277072,0.00012842758726130303,117.42571191699972
24,0.04271933951228857,0.9933121188030358,0.9878512288967847,9.549150281252637e-05,117.38262516699615
25,0.040815491780638695,0.9933315439511964,0.9878872242585127,6.698729810778068e-05,117.32735283299553
26,0.042884365655481815,0.9933701658499203,0.9879702765132391,4.322727117869953e-05,117.56082591599989
27,0.04309750496596098,0.9933443322219516,0.9879164006962178,2.447174185242324e-05,117.4863245420056
28,0.04074872978031635,0.9933613032819495,0.9879499674051404,1.092619963309716e-05,117.42321779199847
29,0.04202965466678143,0.9933732540816864,0.9879765537528754,2.7390523158633003e-06,117.35486220799794
30,0.041824008598923684,0.993370704926872,0.9879699617054435,0.0,117.48662845900253
